ref,External ID,Name,City,Country,customer,supplier,Email,Fax,Is a Company,Mobile,Phone,Notes,State,Street,Street2,Zip,Account Payable,Account Receivable,Tags,Vendor Payment Terms
HR&HN 01,vendor0738,HERI & HARUN (FAMOS),,,FALSE,TRUE,,,,,,,,.HERI & HARUN (FAMOS),,,,,,
ELY 01,vendor0739,IBU ELLY (FAMOS),,,FALSE,TRUE,,,,,,,,.IBU ELLY (FAMOS),,,,,,
V0214,vendor0740,Iwan,,,FALSE,TRUE,,,,,,,,Kampung Pal Genep Gang Madrasah RT.01/06 Margahayu Selatan,,,,,,
V0217,vendor0741,Atep,,,FALSE,TRUE,,,,,,,,Kampung Warung Peutey Cicalengka,,,,,,
MRL 01,vendor0742,MARSEL (FAMOS),,,FALSE,TRUE,,,,,,,,.MARSEL (FAMOS),,,,,,
V0188,vendor0743,Wawa Textile,,,FALSE,TRUE,,,,,,,,Wawa Textile,,,,,,
SYF,vendor0744,Syaffa Acc,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
HNF,vendor0745,Huanfa Textile,,,FALSE,TRUE,,,,,,,,CHINA.,,,,,,
PRU,vendor0746,Prudentia,,,FALSE,TRUE,,,,,,,,Prudentia,,,,,,
DVC,vendor0747,Devi Collection (Shaffa),,,FALSE,TRUE,,,,818715850,,,,TANAH ABANG,,,,,,
HJ,vendor0748,Harapan Jaya,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
SG 01,vendor0749,PSUGENG (FAMOS),,,FALSE,TRUE,,,,,,,,.P'SUGENG (FAMOS),,,,,,
JAN,vendor0750,Jannice Coll (KS),,,FALSE,TRUE,,,,,,,,Jannice Coll (KS),,,,,,
LTF-FMS,vendor0751,AL LUTFI (FAMOS),,,FALSE,TRUE,,,,,,,,TASIKMALAYA JL PAGADEN NO.39 KAWALU ,,,,,,
ARY1 FMS,vendor0752,ARYA MULYA (FAMOS),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
DN01,vendor0753,N & D (FAMOS),,,FALSE,TRUE,,,,8129959205,,,,TANAH ABANG,,,,,,
SJD,vendor0754,Sajidah (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
LIA08,vendor0755,LIA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
LUK,vendor0756,Lukman (SF),,,FALSE,TRUE,,,,022-4241977,,,,BANDUNG,,,,,,
AWN,vendor0757,Awing (SF),,,FALSE,TRUE,,,,031-3981522,,,,Awing (SF) Jl. KH. Kholil 73,,,,,,
AUR,vendor0758,Aurora Gallery,,,FALSE,TRUE,,,,2746571988,,,,Aurora Gallery Jl Janti no 88 B ,,,,,,
DUN,vendor0759,Dunia Baru (BP),,,FALSE,TRUE,,,,,,,,Dunia Baru (BP),,,,,,
Goodwill Consulting,vendor0760,"Goodwill Bintang Utama, PT",,,FALSE,TRUE,,,,,,,,Jakarta,,,,,,
GEG1,vendor0761,PT. POLERONUSA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
DIB,vendor0762,Dibrina Coll,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
AZA,vendor0763,AZZA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
UEB,vendor0764,Uep,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0222,vendor0765,Ajenk Collection,,,FALSE,TRUE,,,,8161106410,,,,JAKARTA,,,,,,
S0035,vendor0766,IRWAN,,,FALSE,TRUE,,,,85692177120,,,,IRWAN,,,,,,
CHA,vendor0767,CHAIRUL ANWAR (FMS),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
GIO,vendor0768,GIONIKE,,,FALSE,TRUE,,,,,,,,.JAKARTA BARAT,,,,,,
U GE TIGA TIGA,vendor0769,CV. U GE TIGA TIGA,,,FALSE,TRUE,,,,021-8293480,,,,Jakarta,,,,,,
140708,vendor0770,ADE - SOREANG,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0193,vendor0771,PT. CMP,,,FALSE,TRUE,,,,022-7800366/68,,,,BANDUNG,,,,,,
S0047,vendor0772,ANUGRAH,,,FALSE,TRUE,,,,,,,,ANUGRAH,,,,,,
V0153,vendor0773,Eneng (Titin Sumartini),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ADL,vendor0774,ARDILLA,,,FALSE,TRUE,,,,,,,,ARDILLA,,,,,,
V0184,vendor0775,"Siti, RBL",,,FALSE,TRUE,,,,81322555456,,,,BANDUNG,,,,,,
SABRINA (FMS),vendor0776,SABRINA,,,FALSE,TRUE,,,,81584083882,,,,Jakarta Pusat,,,,,,
SELVI (FMS),vendor0777,TOKO SELVI,,,FALSE,TRUE,,,,021-36863545,,,,Jakarta Pusat,,,,,,
RABIH (FMS),vendor0778,RABIH,,,FALSE,TRUE,,,,,,,,Jakarta,,,,,,
KA-IYO (FMS),vendor0779,KA-IYO,,,FALSE,TRUE,,,,,,,,Jakarta Pusat,,,,,,
HAWA (FMS),vendor0780,HAWA,,,FALSE,TRUE,,,,021-39841878,,,,Jakarta Pusat,,,,,,
DURGA,vendor0781,DURGA (FMS),,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
HJ01,vendor0782,HIJRAH (FAMOS),,,FALSE,TRUE,,,,81319984204,,,,JACC,,,,,,
MIA,vendor0783,ALIA Majalah,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
DCT,vendor0784,Dibrina (SF),,,FALSE,TRUE,,,,,,,,Dibrina (SF),,,,,,
RH01,vendor0785,RAHMAT,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SG01,vendor0786,SWAN GARMEN (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
BBF (FMS),vendor0787,Bura Billa Fashion,,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
AK01,vendor0788,ANIKO GROUP (FAMOS),,,FALSE,TRUE,,,,2199504369,,,,TANAH ABANG,,,,,,
UM01,vendor0789,UMI (FAMOS),,,FALSE,TRUE,,,,2123571563,,,,TANAH ABANG,,,,,,
MN02,vendor0790,MINNA COLL (FAMOS),,,FALSE,TRUE,,,,85294116950,,,,SOREANG BANDUNG JL PASIR KRAMAT,,,,,,
ML01,vendor0791,ASALMA COLLECTION (FAMOS),,,FALSE,TRUE,,,,81322677905,,,,JAKARTA,,,,,,
IIP,vendor0792,IIM PAYET,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ATI,vendor0793,Yati Coll (PL),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RBS,vendor0794,Rika Busana- Surabaya,,,FALSE,TRUE,,,,,,,,Rika Busana,,,,,,
FLY0,vendor0795,Lyvan (FMS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
PTD,vendor0796,Putri Diana,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0219,vendor0797,Chika,,,FALSE,TRUE,,,,022-92206001,,,,Jl.Adipati Agung Belakang No.40 Baleendah,,,,,,
KYINA (FMS),vendor0798,KYINA,,,FALSE,TRUE,,,,021-3160370,,,,Jakarta Pusat,,,,,,
ALF,vendor0799,Alfatihah,,,FALSE,TRUE,,,,0231-358763,,,,Alfatihah Jl. Raya Gegesik - Arjawinangun,,,,,,
IN01,vendor0800,INDIVA (FAMOS),,,FALSE,TRUE,,,,2717055584,,,,SURAKARTA,,,,,,
RZA FMS,vendor0801,Reza Famos,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
HY01,vendor0802,HARYANTO (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
NIT,vendor0803,Nita,,,FALSE,TRUE,,,,"022-7506798,91270791",,,,BANDUNG,,,,,,
ANH,vendor0804,Anugrah Sakti,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
LIF,vendor0805,Alhusna / Linda (PT),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
TGS,vendor0806,TGS,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
FN01,vendor0807,FANS (FAMOS),,,FALSE,TRUE,,,,85295147192,,,,BANDUNG,,,,,,
AV01,vendor0808,RAVICI COLLECTION (FAMOS),,,FALSE,TRUE,,,,81385724648,,,,TANAH ABANG,,,,,,
DR01,vendor0809,Andirra (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
YR01,vendor0810,YARICO (FAMOS),,,FALSE,TRUE,,,,2171079859,,,,TANAH ABANG,,,,,,
S0005,vendor0811,RAJAWALI,,,FALSE,TRUE,,,,022-4209048,,,,BANDUNG,,,,,,
ZHR - FMS,vendor0812,Zahara Famos,,,FALSE,TRUE,,,,213159109,,,,JAKARTA,,,,,,
AMR,vendor0813,Amara,,,FALSE,TRUE,,,,,,,,Amara,,,,,,
S0007,vendor0814,SUMBER TEXTIL,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
S0032,vendor0815,MARIO FASHION,,,FALSE,TRUE,,,,021-39840327,,,,JAKARTA,,,,,,
S0089,vendor0816,KAEN,,,FALSE,TRUE,,,,8161828457,,,,BANDUNG,,,,,,
S0091,vendor0817,SHAFFA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
S0097,vendor0818,RIZFY COLLECTION,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
S0110,vendor0819,JOYS COLLECTION,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
S0122,vendor0820,"Marsya, Toko",,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
S0142,vendor0821,ERA Collection,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
KOT,vendor0822,Toko Kancing Otista (BP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ILA,vendor0823,Lia Nurmalia,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
KA01,vendor0824,KAEN (FAMOS),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
NIH,vendor0825,Nusa Indah,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
KAE,vendor0826,KAin Entertaintment,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
KAN-FMS,vendor0827,Kaen (Famos),,,FALSE,TRUE,,,,2139840654,,,,BANDUNG,,,,,,
SJ01,vendor0828,SELATAN JAYA (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RIT,vendor0829,Rittie Collection,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RIH,vendor0830,Rish Collection (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RM01,vendor0831,RAM&BORDIR (FAMOS),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
RMA,vendor0832,Rima A Ba Ta (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MED,vendor0833,Tk. Meridien (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
BON,vendor0834,BONA GEMA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MN01,vendor0835,MOENA BUTIK,,,FALSE,TRUE,,,,315029784,,,,MOENA BUTIK NGAGEL JAYA TENGAH NO 29,,,,,,
ADC,vendor0836,Ani Diah Collection,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ALI,vendor0837,Alisha (SF),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
AMP,vendor0838,Amara Kode Khusus (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ANN,vendor0839,ANNIDA Majalah,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ANY,vendor0840,Ranny Peyet (PT),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
APO,vendor0841,Apollo 11 (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ARA,vendor0842,Amara Perubahan Klas (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
CMS,vendor0843,Cipta Makmur Sejahtera. PT,,,FALSE,TRUE,,,,2175900118,,,,Cipta Makmur Sejahtera Komp Golden Plaza Fatmawati D 18 jln ,,,,,,
CIT,vendor0844,Citra Ayu (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
DEN FMS,vendor0845,Denis Famos,,,FALSE,TRUE,,,,81321074238,,,,BANDUNG,,,,,,
DGA,vendor0846,Departement GA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
HAF,vendor0847,Shaffa E-Commers (PT),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
HID,vendor0848,Majalah Hidayatulloh (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
HRT,vendor0849,Hery Tek`s,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
NAH,vendor0850,Shekinah Tex (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
OTJ,vendor0851,OTO JAYA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
Opr 2010,vendor0852,TEXTILE ONE,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MB01,vendor0853,MUSTIKA RATUBUANA (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
INDO,vendor0854,INDOMAKMUR ABADI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RAI,vendor0855,Rainbow (BP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RJA,vendor0856,Rejeki Jaya Tex,,,FALSE,TRUE,,,,022-4207806,,,,BANDUNG,,,,,,
SJC,vendor0857,Shi Ji Fa - China,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SPT,vendor0858,Sipatex (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
TAP,vendor0859,Tanah Abang Perl (Shaffa),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ZWC,vendor0860,Zhan Wei - China,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
WIR,vendor0861,Wirasukma e-commerca (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
DMU,vendor0862,Duta Mitra Usaha,,,FALSE,TRUE,,,,,,,,"BANDUNG Jl. Kanda Atmaja No. 96, Cimahi Utara",,,,,,
ESA,vendor0863,Elsa Fajar (SF),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MCG,vendor0864,Mega Karpet Galeria (SF),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
OMZ,vendor0865,UANG MUKA OMZET,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,Net 14 Days
NSI,vendor0866,Nusa Indah,,,FALSE,TRUE,,,,(0265) 33322,,,,Nusa Indah Jl.Sutisna No.196 A / 131,,,,,,
PET,vendor0867,EMI Accessories / Petite,,,FALSE,TRUE,,,,8122359249,,,,EMI Accessories Jl. Moch. Iwan No. 66/102,,,,,,
PLC,vendor0868,Pluss Coll,,,FALSE,TRUE,,,,,,,,Pluss Coll,,,,,,
RES,vendor0869,Resta (SF),,,FALSE,TRUE,,,,,,,,Resta (SF),,,,,,
S0132,vendor0870,Ansania Textile,,,FALSE,TRUE,,,,,,,,Ansania Textile,,,,,,
SLM,vendor0871,Amara,,,FALSE,TRUE,,,,,,,,Amara,,,,,,
BOL,vendor0872,Sumber Bola (BP),,,FALSE,TRUE,,,,,,,,Sumber Bola (BP),,,,,,
DS4,vendor0873,SOMA,,,FALSE,TRUE,,,,,,,,SOMA,,,,,,
FEV,vendor0874,Feva Textile (BP),,,FALSE,TRUE,,,,022-431488,,,,Feva Textile (BP) Gg. Ciguriang No. 10,,,,,,
FMS,vendor0875,OWNER KEDIRI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RZP,vendor0876,Roza Bordir-Padang,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SHB,vendor0877,Shobur,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
KNN,vendor0878,Kennytex,,,FALSE,TRUE,,,,4897286,,,,BANDUNG,,,,,,
V0211,vendor0879,Hamdan,,,FALSE,TRUE,,,,81322480024,,,,BANDUNG,,,,,,
ELG,vendor0880,ELIGANTINI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
GEG,vendor0881,Golden Eagle Garmindo,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
NMN,vendor0882,Noor Mina,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
PLR,vendor0883,PADALARANG,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0099,vendor0884,Suantex,,,FALSE,TRUE,,,,,,,,Suantex,,,,,,
FS013,vendor0885,Labuhan Busana,,,FALSE,TRUE,,,,,,,,Jakarta Pusat,,,,,,
KAO,vendor0886,PT KAO INDONESIA,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
MAY,vendor0887,MAYBELINE,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
FAHMI,vendor0888,FAHMI ACCESSORIES,,,FALSE,TRUE,,,,,,,,.ASEMKA,,,,,,
MT01,vendor0889,MONTESSA (FAMOS),,,FALSE,TRUE,,,,2125370857,,,,TANAH ABANG,,,,,,
UNIL,vendor0890,UNILEVER,,,FALSE,TRUE,,,,,,,,.SOEKARNO HATTA BANDUNG,,,,,,
ZS.192,vendor0891,DUNIA BUTTON (MZZR),,,FALSE,TRUE,,,,,,,,TEDDY ,,,,,,
ELSA,vendor0892,ELSA FAJAR,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
KIR,vendor0893,KIRANA,,,FALSE,TRUE,,,,,,,,.JAKARTA BARAT,,,,,,
FI,vendor0894,FIRST NET,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
SYF (FMS),vendor0895,Syaffa Famos,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
PRI,vendor0896,TK PRIMA INDAH,,,FALSE,TRUE,,,,,,,,.TANAH ABANG JAK PUS,,,,,,
EMPUT 01,vendor0897,EMPUT,,,FALSE,TRUE,,,,,,,,.EMPUT,,,,,,
LK0,vendor0898,LOVE KNIT ,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
FS.045,vendor0899,AUFI GRAHA,,,FALSE,TRUE,,,,,,,,.TANAH ABANG JAKARTA,,,,,,
AIS,vendor0900,SHAI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
LL01,vendor0901,LULU BINTA (FAMOS),,,FALSE,TRUE,,,,,,,,TANAH ABANG,,,,,,
AS02,vendor0902,ASAOCA (FAMOS),,,FALSE,TRUE,,,,,,,,.TANAH ABANG,,,,,,
SAY,vendor0903,BON SAYS,,,FALSE,TRUE,,,,,,,,JAKARTA PUSAT,,,,,,
RO,vendor0904,ROLES,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
MEL,vendor0905,MELATI,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
SS.339,vendor0906,PT SUDONG METAL BUTONINDO (EC),,,FALSE,TRUE,,,,022-5943884,,,,PT SUDONG ,,,,,,
AKR,vendor0907,Asosiasi Kerajinan Pekalongan,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RY01,vendor0908,REZEKIMU (FAMOS),,,FALSE,TRUE,,,,,,,,TANAH ABANG,,,,,,
NST FMS,vendor0909,NASAR (FAMOS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
Sobandi,vendor0910,Sobandi,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
Ko Iyo,vendor0911,Ko Iyo,,,FALSE,TRUE,,,,,,,,JAKARTA Pasar Tanah Abang,,,,,,
TVN,vendor0912,TOVINA Garment,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
UKM,vendor0913,UKM Gallery,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
GRJ,vendor0914,Ge Er Gallery ,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
FS.064,vendor0915,BINTANG BARU,,,FALSE,TRUE,,,,"021-63857051, 021-32102239, 021- 6302005",,,,JAKARTA BARAT,,,,,,
FS.111,vendor0916,IDOLA BARU ACCESSORIES,,,FALSE,TRUE,,,,,,,,.JAKARTA BARAT,,,,,,
FS.210,vendor0917,INU (FAMOS),,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
SS.138,vendor0918,BINTANG JAYA (SLP),,,FALSE,TRUE,,,,021-6127238,,,,BINTANG JAYA (SLP),,,,,,
SV.096,vendor0919,SITI J (SLP),,,FALSE,TRUE,,,,022-92763141,,,,Jl.Kopo Gg.Awuk Kampung Cikambui Hilir RT.02/11 Sangkan Huri,,,,,,
FS.201,vendor0920,HARYATI ,,,FALSE,TRUE,,,,,,,,TASIK MALAYA,,,,,,
FS.135,vendor0921,RINS COLLECTION,,,FALSE,TRUE,,,,,,,,Jakut,,,,,,
ZS.042,vendor0922,DIAN RAKYAT (ZOYA),,,FALSE,TRUE,,,,021-4604444,,,,DIAN RAKYAT (ZOYA),,,,,,
SS.118,vendor0923,METRO INDAH (SLP),,,FALSE,TRUE,,,,021-6013941,,,,METRO INDAH (SLP),,,,,,
ZS.052,vendor0924,RUBYS ACCESORIES (ZOYA),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
FS.127,vendor0925,Noby,,,FALSE,TRUE,,,,,,,,Jakarta Pusat,,,,,,
SS.030,vendor0926,CAHAYA INTAN PENDAWA (SLP),,,FALSE,TRUE,,,,021-3916171,,,,Cahaya Intan Pendawa,,,,,,
DEV,vendor0927,Devi Collection (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
FS.098,vendor0928,ENITH,,,FALSE,TRUE,,,,,,,,.ENITH,,,,,,
ZS.053,vendor0929,ITA AKSESORIS (ZOYA),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
SMR,vendor0930,Samira (KS),,,FALSE,TRUE,,,,,,,,Samira (KS),,,,,,
SS.068,vendor0931,MALIEQA (SLP),,,FALSE,TRUE,,,,,,,,MALIEQA,,,,,,
S0040,vendor0932,HAFRINA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SS.128,vendor0933,OBRAS SAE (SLP),,,FALSE,TRUE,,,,022-4233122,,,,OBRAS SAE (SLP),,,,,,
FS.065,vendor0934,BINTANG MAKMUR,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
FS.040,vendor0935,ARDHA COLLECTION,,,FALSE,TRUE,,,,,,,,.JAKARTA PUSAT,,,,,,
FS.174,vendor0936,ELA,,,FALSE,TRUE,,,,,,,,.SOREANG,,,,,,
FDH0,vendor0937,DAHLAN(FMS),,,FALSE,TRUE,,,,,,,,BDG,,,,,,
SS.100,vendor0938,DHIVA SCARF (SLP),,,FALSE,TRUE,,,,,,,,DHIVA SCARF (SLP),,,,,,
FS.166,vendor0939,JEMIEL,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
NUS,vendor0940,Petite (SF),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
FS.165,vendor0941,NILA,,,FALSE,TRUE,,,,,,,,.CIMAHI,,,,,,
ZS.038,vendor0942,SMARTEX (ZOYA),,,FALSE,TRUE,,,,,,,,SMARTEX (ZOYA),,,,,,
TAB,vendor0943,Tanah Abang Busana (Shaffa),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,Net 30 Days
ZS.047,vendor0944,TOKO WK (ZOYA),,,FALSE,TRUE,,,,022-4231042,,,,TOKO WK (ZOYA),,,,,,
ZS.106,vendor0945,CV.Prima Widya (COSMETIC),,,FALSE,TRUE,,,,021-8752341,,,,Tatang,,,,,,
FS.183,vendor0946,TONY COLLECTION,,,FALSE,TRUE,,,,,,,,Jakarta,,,,,,
SS.013,vendor0947,DEWI  SHINTA (SLP),,,FALSE,TRUE,,,,(0291) 755281,,,,DEWI  SHINTA,,,,,,Net 90 Days
SS.133,vendor0948,GAJAH DUDUK (SLP),,,FALSE,TRUE,,,,8172347177,,,,GAJAH DUDUK (SLP),,,,,,
FS.180,vendor0949,DAHLAN,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
FS.042,vendor0950,ASEMKA,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
SS.126,vendor0951,DUTA MODA TEXTILE (SLP),,,FALSE,TRUE,,,,022-4246818,,,,DUTA MODA (SLP),,,,,,
SS.106,vendor0952,LALA MALANG  (SLP),,,FALSE,TRUE,,,,8179660523,,,,LALA MALANG  (SLP),,,,,,
SS.110,vendor0953,TITIN HARYATI  (SLP),,,FALSE,TRUE,,,,,,,,Titin Haryati (BP),,,,,,
FS.190,vendor0954,CANTI COLL,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
SS.116,vendor0955,ISTANA PAYETTE (SLP),,,FALSE,TRUE,,,,021-6499187,,,,ISTANA PAYETTE (SLP),,,,,,
ZS.061,vendor0956,PT. INTERMODA KUSUMA (ZOYA),,,FALSE,TRUE,,,,022--70708737,,,,BANDUNG,,,,,,
FS.085,vendor0957,SARI BUNGA,,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
FS017,vendor0958,Arti Jaya,,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
SS.121,vendor0959,AYEP (SLP),,,FALSE,TRUE,,,,,,,,AYEP (SLP),,,,,,
FS.016,vendor0960,ARTI JAYA,,,FALSE,TRUE,,,,,,,,.ARTI JAYA,,,,,,
Sinar,vendor0961,CV.Sinar Tawekal,,,FALSE,TRUE,,,,022-70371910,,,,Bandung,,,,,,
SS.142,vendor0962,TRENDS ASSESORIES (SLP),,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
ZS.037,vendor0963,SIUTEX JAYA TEXTILE (ZOYA),,,FALSE,TRUE,,,,022-86062148,,,,SIUTEX JAYA TEXTILE,,,,,,
GRT,vendor0964,Elco Leather Company,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SS.219,vendor0965,CAI QI CORAL (SLP),,,FALSE,TRUE,,,,020-81391308,,,,"Guangzhou city road, liwan plaza, longevity negative layer G",,,,,,
SS.117,vendor0966,BEADS JEWELLERY (SLP),,,FALSE,TRUE,,,,021-6241758,,,,BEADS JEWELLERY (SLP),,,,,,
HDT,vendor0967,Hendarto (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
FS.203,vendor0968,ILUPA,,,FALSE,TRUE,,,,,,,,Bandung,,,,,,
FS.209,vendor0969,PESONA (FAMOS),,,FALSE,TRUE,,,,,,,,Jakarta,,,,,,
SS.157,vendor0970,AURORA CHINA (SLP),,,FALSE,TRUE,,,,020-83220170,,,,AURORA (SLP),,,,,,
SV.128,vendor0971,OON ROHANAH (SLP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SS.153,vendor0972,ROOKIE BUD (SLP),,,FALSE,TRUE,,,,020-62136729,,,,ROOKIE BUD (SLP),,,,,,
SS.154,vendor0973,BAI TANG LEATHER HANDBAG FACTORY (SLP),,,FALSE,TRUE,,,,22105275,,,,BAI TANG LEATHER HANDBAG FACTORY (SLP),,,,,,
SS.156,vendor0974,CORLOBY (SLP),,,FALSE,TRUE,,,,020-36322092,,,,CORLOBY (SLP),,,,,,
1000023,vendor0975,AXXENT (FAMOS),,,FALSE,TRUE,,,,,,,,.TANAH ABANG,,,,,,
SS.034,vendor0976,BATIK ASRI (SLP),,,FALSE,TRUE,,,,(0231) 488188,,,,BANDUNG,,,,,,Net 14 Days
FS.046,vendor0977,AWING ,,,FALSE,TRUE,,,,021-4243667,,,,GRESIK,,,,,,Net 7 Days
SS.181,vendor0978,HUA MEI (SLP),,,FALSE,TRUE,,,,020-84464837,,,,CHINA,,,,,,Immediate
FS.049,vendor0979,BATIK ASRI,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
