ref,External ID,Name,City,Country,Customer,Supplier,Email,Fax,Is a Company,Mobile,Phone,Notes,State,Street,Street2,Supplier,Zip,Account Payable,Account Receivable,Tags,Vendor Payment
MZB,mitra_MZB,MITRA MEZORA GARUT,GARUT,Indonesia,TRUE,False,mezora.garut1@lamara.net,,FALSE,,8121404545,,,GARUT PLAZA LT. DASAR BLOK VII A1 - A2,JALAN GUNTUR,FALSE,,,,MITRA MEZORA,
M52,mitra_M52,MITRA MEZORA CIBINONG (MILKA),BOGOR,Indonesia,TRUE,False,mezora.cibinong1@lamara.net,,FALSE,,81932502984,,,CIBINONG CITY MALL GROUND FLOOR C1C,"JLN. TEGAR BERIMAN NO. 1, CIBINONG, BOGOR",FALSE,,,,MITRA MEZORA,
MZM,mitra_MZM,MITRA MEZORA BEKASI (ETIK),BEKASI,Indonesia,TRUE,False,mezora.bekasi1@lamara.net,,FALSE,,81286911902,,,SGC (SENTRAL GROSS CIKARANG) LT. UG,ZONA MERAH NO. 16,FALSE,,,,MITRA MEZORA,
MZH,mitra_MZH,MITRA MEZORA TANGERANG CITY,TANGERANG,Indonesia,TRUE,False,mezora.tangerang2@lamara.net,,FALSE,,,,,TANGCITY MALL GF C 0015,JLN JENDRAL SUDIRMAN NO. 1 CIKOKOL,FALSE,,,,MITRA MEZORA,
YK6,mitra_YK6,MITRA ZOYA KEBUMEN,KEBUMEN,Indonesia,TRUE,False,zoya.kebumen1@lamara.net,,FALSE,,,,,Jl. Marga Asri V C.263 - Bandung Kulon,,FALSE,,,,MITRA ZOYA,
MA3,mitra_MA3,MITRA ZOYA MADIUN,MADIUN,Indonesia,TRUE,False,zoya.madiun1@lamara.net,,FALSE,,,,,Jl. Pahlawan No. 85 Kartoharjo,,FALSE,,,,MITRA ZOYA,
M60,mitra_M60,MITRA MEZORA PATI,PATI,Indonesia,TRUE,False,,,FALSE,,,,,Jl. PB Sudirman 34 Pati - Jawa Tengah,,FALSE,,,,MITRA MEZORA,
YK7,mitra_YK7,MITRA ZOYA YOGYA (NURYANTA),,Indonesia,TRUE,False,zoya.yogyakarta1@lamara.net,,FALSE,,,,,Jl. Cornelis Sumanjuntak No.34 Rt. 08 Rw.02,,FALSE,,,,MITRA ZOYA,
M38,mitra_M38,MITRA MEZORA KARAWANG (NURYANTA),KARAWANG,Indonesia,TRUE,False,mezora.karawang1@lamara.net,,FALSE,,8158815774,,,JLN. TUPAREV NO. 334E,,FALSE,,,,MITRA MEZORA,
M19,mitra_M19,MITRA MEZORA BTM BOGOR,BOGOR,Indonesia,TRUE,False,mezora.bogor1@lamara.net,,FALSE,81357387955,81357387955,,,KEBON PEDES NO.26 RT.002/010 KEL.KEBON PEDES KEC. TANAH SAREAL BOGOR,KEBON PEDES NO.26 RT.002/010 KEL.KEBON PEDES KEC. TANAH SAREAL BOGOR,FALSE,,,,MITRA MEZORA,
